S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore,Mar Cap Growth Rate,Sales Qtr Growth Rate,Profit Margin,Return on Investment (ROI),Market Share
1,Reliance Inds.,583436.72,99810.0,,,-484.54735998396956,-82.89274627760831,5.710688194055878
2,TCS,563709.84,30904.0,-3.381151601153931,-69.03717062418595,-1724.067564069376,-94.51774693164839,1.768190641710278
3,HDFC Bank,482953.59,20581.27,-14.325854237350189,-33.40256924669946,-2246.568457631623,-95.7384580162247,1.177569538199343
4,ITC,320985.27,9772.02,-33.53703613632937,-52.51983964060527,-3184.738160585017,-96.9556173091681,0.5591119050804321
5,H D F C,289497.37,16840.51,-9.809764790764397,72.33396984451524,-1619.0534609700062,-94.18284525348191,0.9635397418984065
6,Hind. Unilever,288265.26,8590.0,-0.42560317560051963,-48.992043590128795,-3255.8237485448194,-97.02010571790719,0.4914819315393246
7,Maruti Suzuki,263493.81,19283.2,-8.593283144836816,124.48428405122236,-1266.442343594424,-92.68172561624883,1.1032996952571716
8,Infosys,248320.35,17794.0,-5.758564119589749,-7.72278460006638,-1295.528548949084,-92.8342562339333,1.0180942362992715
9,O N G C,239981.5,22995.88,-3.3581017423662596,29.233899067101277,-943.5847638794426,-90.41764469344513,1.3157228777469763
10,St Bk of India,232763.33,57014.08,-3.007802684790295,147.93171646399264,-308.2558729352469,-75.50555751200157,3.2620943147075177
11,ICICI Bank,203802.35,13665.35,-12.442243372270012,-76.03162236415987,-1391.3803890862657,-93.29480253785101,0.7818710841863691
12,Kotak Mah. Bank,199253.77,6390.71,-2.231858464831249,-53.23420183163987,-3017.8659335191237,-96.79267800052165,0.3656482531673664
13,Coal India,192677.98,21643.28,-3.3002085732179554,238.6678475474556,-790.2439001851847,-88.76712325923283,1.2383330685967908
14,Larsen & Toubro,180860.74,28747.45,-6.133155433744952,32.82390654281606,-529.1366364668866,-84.10520160428405,1.644802357721788
15,I O C L,178017.48,110666.93,-1.5720714180423978,284.9625966824883,-60.858785908310665,-37.8336722888112,6.331873866580586
16,Bharti Airtel,167131.29,20318.6,-6.115236548680503,-81.63986296538633,-722.5531778764285,-87.84273130423394,1.1625407187630874
17,Axis Bank,136380.76,11721.55,-18.399026298426826,-42.3112320730759,-1063.5044853283057,-91.40527593481661,0.6706554173032329
18,NTPC,135390.53,20774.37,-0.7260774906959089,77.23227730121016,-551.7190653675659,-84.6559652288827,1.1886178689304538
19,Sun Pharma.Inds.,134241.36,6653.23,-0.8487816688508509,-67.97385432145475,-1917.6870482457393,-95.04383000887357,0.3806684902648872
